userID;fecha
anom;16/09/2024_13:51
unixTimestamp;Timestamp;Situacion;Accion;Objeto
1726487515,11587;2,93864;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487516,42673;4,24880;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487516,48156;4,30437;Test1;ENTRA_HEAD;attach3: Part of FullBot
1726487517,41597;5,23817;Test1;SALE_HEAD;attach3: Part of FullBot
1726487517,62472;5,44744;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487518,07007;5,89296;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487518,26604;6,08860;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487520,63422;8,45672;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487521,16254;8,98515;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487521,44189;9,26443;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487521,58062;9,40313;Test1;ENTRA_HEAD;attach3: Part of FullBot
1726487529,54460;17,36677;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487530,46284;18,28561;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487530,51818;18,34124;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487530,63003;18,45217;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487533,20584;21,02800;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487533,30281;21,12539;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487533,32987;21,15228;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487533,41293;21,23580;Test1;ENTRA_HEAD;BaseShield: Part of RoboCola
1726487533,52559;21,34784;Test1;SALE_HEAD;BaseShield: Part of RoboCola
1726487533,97029;21,79259;Test1;ENTRA_HEAD;attach3: Part of FullBot
1726487534,12357;21,94637;Test1;SALE_HEAD;attach3: Part of FullBot
1726487534,29089;22,11300;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487534,30447;22,12723;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487534,38825;22,21044;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487535,37817;23,20039;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487535,61277;23,43583;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487551,01151;38,83427;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487552,08403;39,90677;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487552,82191;40,64476;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487553,00359;40,82571;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487553,71285;41,53523;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487554,49283;42,31536;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487554,50664;42,32958;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487554,54822;42,37088;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487554,95165;42,77465;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487555,02185;42,84429;Test1;ENTRA_HEAD;attach3: Part of FullBot
1726487555,20282;43,02534;Test1;SALE_HEAD;attach3: Part of FullBot
1726487555,27262;43,09505;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487555,75991;43,58229;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487555,78759;43,61009;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726487555,84368;43,66593;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
